City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Geraldton,AU,2021-05-16 20:30:40,-28.7667,114.6,64.4,55,35,14.97
68,Guerrero Negro,MX,2021-05-16 20:30:53,27.9769,-114.0611,67.75,54,0,18.97
69,Bambous Virieux,MU,2021-05-16 20:30:58,-20.3428,57.7575,77.0,73,75,11.5
70,Arraial Do Cabo,BR,2021-05-16 20:29:56,-22.9661,-42.0278,75.2,69,20,5.75
71,Yellowknife,CA,2021-05-16 20:29:34,62.456,-114.3525,39.0,64,90,6.91
72,Saskylakh,RU,2021-05-16 20:30:20,71.9167,114.0833,17.02,94,100,18.48
73,Faya,SA,2021-05-16 20:32:00,18.3851,42.4509,71.6,24,0,4.18
74,Viedma,AR,2021-05-16 20:27:51,-40.8135,-62.9967,59.54,43,0,11.12
75,Barra Do Corda,BR,2021-05-16 20:32:38,-5.5,-45.25,78.21,82,97,2.33
76,Bredasdorp,ZA,2021-05-16 20:30:34,-34.5322,20.0403,55.4,76,11,6.91
77,Ust-Nera,RU,2021-05-16 20:32:38,64.5667,143.2,40.87,74,100,4.09
78,Kapaa,US,2021-05-16 20:30:00,22.0752,-159.319,78.8,61,75,19.57
79,Pangnirtung,CA,2021-05-16 20:31:01,66.1451,-65.7125,28.4,86,75,8.05
80,Algiers,DZ,2021-05-16 20:32:38,36.7525,3.042,73.4,53,0,8.05
81,Abu Dhabi,AE,2021-05-16 20:27:52,24.4667,54.3667,87.8,62,0,2.3
82,Khatanga,RU,2021-05-16 20:30:44,71.9667,102.5,6.13,99,95,3.65
83,Los Llanos De Aridane,ES,2021-05-16 20:31:31,28.6585,-17.9182,69.8,73,20,16.11
84,Cabo San Lucas,MX,2021-05-16 20:29:49,22.8909,-109.9124,87.01,25,1,12.66
85,Iqaluit,CA,2021-05-16 20:31:02,63.7506,-68.5145,26.6,74,75,13.8
86,Ormara,PK,2021-05-16 20:32:39,25.2088,64.6357,86.94,59,8,10.54
87,Radaur,IN,2021-05-16 20:32:40,30.0333,77.15,86.04,22,19,5.55
88,Ribeira Grande,PT,2021-05-16 20:30:06,38.5167,-28.7,66.2,94,40,13.8
89,Nantucket,US,2021-05-16 20:32:21,41.2835,-70.0995,66.2,55,1,10.36
90,Maraba,BR,2021-05-16 20:30:34,-5.3686,-49.1178,87.8,79,20,3.44
91,Bayonet Point,US,2021-05-16 20:30:20,28.3267,-82.6834,88.0,39,100,3.0
92,Valparaiso,CL,2021-05-16 20:32:40,-33.0393,-71.6273,75.2,19,98,9.22
93,Kropotkin,RU,2021-05-16 20:32:40,45.4375,40.5756,66.0,56,99,10.04
94,Qaqortoq,GL,2021-05-16 20:32:41,60.7167,-46.0333,51.8,19,94,9.22
95,Douglas,US,2021-05-16 20:32:41,41.3,-96.167,61.0,100,90,6.91
96,Nyurba,RU,2021-05-16 20:32:15,63.2842,118.3319,27.72,63,100,8.68
97,Beringovskiy,RU,2021-05-16 20:32:41,63.05,179.3167,32.16,92,100,1.39
98,Tuatapere,NZ,2021-05-16 20:31:27,-46.1333,167.6833,46.0,72,88,5.01
99,Lagoa,PT,2021-05-16 20:30:19,39.05,-27.9833,61.34,92,100,11.95
100,Qaanaaq,GL,2021-05-16 20:30:15,77.484,-69.3632,31.19,92,98,6.64
101,Det Udom,TH,2021-05-16 20:32:42,14.906,105.0784,90.0,89,43,3.44
102,Korla,CN,2021-05-16 20:30:49,41.7597,86.1469,60.96,42,20,2.68
103,Kavaratti,IN,2021-05-16 20:30:26,10.5669,72.642,83.62,78,100,20.83
104,Lompoc,US,2021-05-16 20:30:54,34.6391,-120.4579,59.0,72,17,12.66
105,Tiksi,RU,2021-05-16 20:30:24,71.6872,128.8694,24.15,98,100,4.36
106,Bereznik,RU,2021-05-16 20:32:42,62.8551,42.7072,52.81,94,100,6.44
107,Asau,RO,2021-05-16 20:30:23,46.4333,26.4,55.99,63,29,5.3
108,Barrow,US,2021-05-16 20:30:08,71.2906,-156.7887,26.6,80,90,13.8
109,Vila Velha,BR,2021-05-16 20:32:43,-20.3297,-40.2925,75.2,69,0,4.61
110,Avarua,CK,2021-05-16 20:30:16,-21.2078,-159.775,78.8,69,40,8.05
111,Saginaw,US,2021-05-16 20:31:11,43.3334,-84.0333,68.0,45,75,3.44
112,Thompson,CA,2021-05-16 20:30:21,55.7435,-97.8558,42.8,61,75,19.57
113,Hajnowka,PL,2021-05-16 20:32:43,52.7433,23.5812,57.0,76,100,1.01
