City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
222,Bama,NG,86.41,broken clouds,11.5221,13.6856,UN Humanitarian Hub
224,Olinda,BR,78.53,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
225,Victoria,HK,86.97,scattered clouds,22.2855,114.1577,Mini Hotel Central
227,Sibolga,ID,76.59,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
235,Poum,NC,74.12,scattered clouds,-20.2333,164.0167,Gîte kajeon
237,Shaowu,CN,73.02,moderate rain,27.3409,117.4831,Yijie Express Hotel
238,Trat,TH,76.21,broken clouds,12.5,102.5,สวนหนิง-อัศ
239,San Jose,US,73.31,clear sky,37.3394,-121.895,The Westin San Jose
244,Mayo,US,84.15,clear sky,38.8876,-76.5119,Resorts Resource Group International
245,Nha Trang,VN,80.6,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
253,Hambantota,LK,80.29,overcast clouds,6.1241,81.1185,Bungalow 63
256,Dingle,PH,80.1,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
258,Umm Lajj,SA,81.18,overcast clouds,25.0213,37.2685,Moon light Furnished Units
259,Port-Gentil,GA,78.1,heavy intensity rain,-0.7193,8.7815,Fengshui Residence
260,Minchinabad,PK,80.83,clear sky,30.163,73.5685,Al habib hotel minchinabad
262,Oussouye,SN,75.54,broken clouds,12.485,-16.5469,Auberge du Routard
263,Chino Valley,US,71.92,clear sky,34.7575,-112.4538,Primrose Inn & Suites
268,Maningrida,AU,76.1,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
271,Sal Rei,CV,72.16,few clouds,16.1833,-22.9167,Marine Club Beach Resort
273,Sorong,ID,77.97,light rain,-0.8833,131.25,waigo splash hotel
279,Kalmunai,LK,79.07,overcast clouds,7.4167,81.8167,VS Villa
281,Labuan,MY,77.16,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
286,Sohag,EG,81.93,clear sky,26.557,31.6948,Civil Registry - Sohag 1
291,Sakakah,SA,85.21,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
299,Damghan,IR,74.93,overcast clouds,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
300,Kigoma,TZ,73.65,light rain,-4.8769,29.6267,MJI Mwema Lodge
301,Lagunas,PE,77.65,broken clouds,-5.2269,-75.6753,Hospedaje Eco
302,Souillac,MU,71.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
306,Bundaberg,AU,70.21,scattered clouds,-24.85,152.35,Takalvan Motel
309,Odweyne,SO,74.89,scattered clouds,9.4092,45.06399999999999,Eng Hiirey House
311,Bhikhi,IN,79.16,broken clouds,30.0667,75.5333,ਡਾਕਟਰ ਸਰੇਸ ਬਾਂਸਲ।
312,Port Blair,IN,82.44,light rain,11.6667,92.75,Welcomhotel Bay Island Port Blair
315,Najran,SA,76.3,clear sky,17.4924,44.1277,محمد هادي ال فطيح
316,Lubao,PH,85.14,light rain,14.9167,120.55,Hacienda Gracia
319,Muana,BR,75.94,broken clouds,-1.5283,-49.2167,Pousada Bella do Marajó
322,Juba,SS,72.21,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
325,La Cruz,MX,84.47,overcast clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
326,Ugoofaaru,MV,83.77,overcast clouds,5.6667,73.0,Ungoofaaru Inn
329,Sume,BR,73.8,overcast clouds,-7.6717,-36.88,Pousada Sumé ll
331,Bayji,IQ,88.16,broken clouds,34.9311,43.486999999999995,قريه جديده
332,Koutiala,ML,89.85,overcast clouds,12.3917,-5.4642,Hotel Campement Poule Verte
336,Namibe,AO,71.8,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
338,Sao Caetano De Odivelas,BR,75.63,light rain,-0.75,-48.02,Hotel do Luttis
341,Saint-Georges,GD,80.47,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
342,Mackay,AU,73.69,clear sky,-21.15,149.2,International Lodge Motel
343,Itamaraca,BR,78.85,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
346,Cayenne,GF,77.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
348,Mataram,ID,74.21,broken clouds,-8.5833,116.1167,Hotel Santika Mataram
353,Bonthe,SL,81.99,light rain,7.5264,-12.505,Bonthe Holiday Village
354,Beira,MZ,70.77,clear sky,-19.8436,34.8389,Beira Terrace Hotel
355,Owando,CG,70.14,moderate rain,-0.4819,15.8999,Exaunel Hotel Owando
356,Sao Filipe,CV,72.63,clear sky,14.8961,-24.4956,Hotel Xaguate
357,Abidjan,CI,76.96,few clouds,5.3094,-4.0197,ibis Abidjan Plateau
359,Caiaponia,BR,70.5,scattered clouds,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
362,Roma,US,85.86,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
366,Luwuk,ID,76.6,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
368,Faanui,PF,81.86,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
370,Mormugao,IN,81.81,scattered clouds,15.4,73.8,Coconut Creek Resort
374,Piacabucu,BR,76.37,clear sky,-10.4056,-36.4344,Piaçabuçu News
376,Road Town,VG,82.4,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
378,Bud,US,82.54,overcast clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
381,Ixtapa,MX,81.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
382,Manicore,BR,78.67,overcast clouds,-5.8092,-61.3003,Hotel Durval
383,Makakilo City,US,78.69,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
384,Belmonte,BR,75.7,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
386,Yangjiang,CN,82.24,broken clouds,21.85,111.9667,HUALUXE Yangjiang City Center
388,Seondha,IN,83.75,clear sky,26.1578,78.7797,रामोराम मंदिर (पं. लक्ष्मी कांत दीक्षित)
396,Uyo,NG,75.6,overcast clouds,5.0333,7.9266,Economy Lodge
397,Tamandare,BR,77.97,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
398,Chamrajnagar,IN,71.02,overcast clouds,11.9167,76.95,Nijaguna Resort - Near BR Hills & K gudi Wildlife
401,Araceli,PH,81.28,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
